"id","wd_id","wp_id","slug","name","occupation","prob_ratio","gender","twitter","alive","l","hpi_raw","bplace_name","bplace_lat","bplace_lon","bplace_geonameid","bplace_country","birthdate","birthyear","dplace_name","dplace_lat","dplace_lon","dplace_geonameid","dplace_country","deathdate","deathyear","bplace_geacron_name","dplace_geacron_name","is_group","l_","age","non_en_page_views","coefficient_of_variation","hpi"
18934,"Q9458",18934,"Muhammad","Muhammad","RELIGIOUS FIGURE",0,"M",,FALSE,223,35.68025859971877,"Mecca",21.4225,39.82333333,21021,"Saudi Arabia",,570,"Medina",24.47,39.61,36636,"Saudi Arabia","0632-06-08",632,"mecca","medina",FALSE,26.64958259133435,62,3732407,3.7250786030239014,100
3395,"Q9441",3395,"Gautama_Buddha","Gautama Buddha","PHILOSOPHER",0,"M",,FALSE,209,35.49535758298928,"Lumbini",27.48138889,83.27583333,204326,"Nepal","0566-04-08 BC",-566,"Kushinagar",26.741,83.888,33686220,"India",,-452,"lumbini","kushinagar",FALSE,31.94063633782183,114,2038657,3.0887392871303607,99.481783
14627,"Q935",14627,"Isaac_Newton","Isaac Newton","PHYSICIST",0,"M",,FALSE,235,35.48016419061497,"Woolsthorpe-by-Colsterworth",52.809863,-0.62877,201088,"United Kingdom","1643-01-04",1643,"Kensington",51.5,-0.19,54732,"United Kingdom","1727-03-31",1726,"woolsthorpe-by-colsterworth","kensington",FALSE,30.988774869925628,83,2508822,3.7821597382938283,99.439201
4848272,"Q22686",4848272,"Donald_Trump","Donald Trump","POLITICIAN",0,"M","realDonaldTrump",TRUE,253,35.418746957562824,"Queens",40.75,-73.86666667,45579,"United States","1946-06-14",1946,,,,,,,,"queens",,FALSE,21.201757256680867,79,17028468,4.1932983463634335,99.267069
17414699,"Q720",17414699,"Genghis_Khan","Genghis Khan","MILITARY PERSONNEL",0,"M",,FALSE,176,35.121570153342034,"Khentii Mountains",48.7833,109.167,7300427,"Mongolia","1162-05-31",1162,"Yinchuan",38.485,106.225,465955,"China","1227-08-18",1227,"khentii-mountains","yinchuan",FALSE,28.15747867995564,65,2506097,3.0408986594476803,98.434181
60827,"Q635",60827,"Cleopatra","Cleopatra","POLITICIAN",0,"F",,FALSE,151,35.08703265398587,"Alexandria",31.1975,29.8925,3080,"Egypt","0069-01-13 BC",-69,"Alexandria",31.1975,29.8925,3080,"Egypt","0030-08-12 BC",-30,"alexandria","alexandria",FALSE,15.743828158238792,39,11936188,3.450093613267366,98.337383
19379,"Q1001",19379,"Mahatma_Gandhi","Mahatma Gandhi","SOCIAL ACTIVIST",0,"M",,FALSE,203,34.86244317771286,"Porbandar",21.64166667,69.62930556,425026,"India","1869-10-02",1869,"New Delhi",28.61388889,77.20888889,51585,"India","1948-01-30",1948,"porbandar","new-delhi",FALSE,32.22269032629796,79,2628164,3.107466292268149,97.707933
1687680,"Q450675",1687680,"Pope_Francis","Pope Francis","RELIGIOUS FIGURE",0,"M","Pontifex",FALSE,175,34.625187220255775,"Buenos Aires",-34.60333333,-58.38166667,255919,"Argentina","1936-12-17",1936,"Domus Sanctae Marthae",41.9007,12.4533,1686483,"Vatican City","2025-04-21",2025,"buenos-aires","domus-sanctae-marthae",FALSE,15.834975765215797,89,21779849,3.9086399891099677,97.042983
73513,"Q345",73513,"Mary,_mother_of_Jesus","Mary, mother of Jesus","RELIGIOUS FIGURE",0,"F",,FALSE,154,34.587124362905435,"Herodian kingdom",31.78333333,35.21666667,33141450,"Israel",,-100,,,,,,,100,"herodian-kingdom",,FALSE,27.859938751558836,200,1743390,2.7057917703652428,96.936305
17914,"Q255",17914,"Ludwig_van_Beethoven","Ludwig van Beethoven","COMPOSER",0,"M",,FALSE,210,34.570638350441875,"Bonn",50.73333333,7.1,3295,"Germany","1770-12-16",1770,"Vienna",48.20833333,16.3725,55866,"Austria","1827-03-26",1827,"bonn","vienna",FALSE,25.515675267219834,57,2365134,3.5811523234351204,96.8901
18079,"Q762",18079,"Leonardo_da_Vinci","Leonardo da Vinci","INVENTOR",0,"M",,FALSE,239,34.53914180280357,"Anchiano",43.79916667,10.93805556,1655167,"Italy","1452-04-15",1452,"Clos Lucé",47.4102299,0.9915248,98219,"France","1519-05-02",1519,"anchiano","clos-luce",FALSE,18.026939657363112,67,3273509,5.375142433583912,96.801826
308,"Q868",308,"Aristotle","Aristotle","PHILOSOPHER",0,"M",,FALSE,223,34.343127853485356,"Stagira (ancient city)",40.59166667,23.79472222,879525,"Greece",,-384,"Chalcis",38.4625,23.595,171288,"Greece",,-321,"stagira-ancient-city","chalcis",FALSE,21.053646531326788,63,2064018,4.896009630767902,96.252463
19334,"Q6101",19334,"Marco_Polo","Marco Polo","EXPLORER",0,"M",,FALSE,180,34.3271837529574,"Venice",45.4375,12.33583333,32616,"Italy","1254-09-15",1254,"Venice",45.4375,12.33583333,32616,"Italy","1324-01-08",1324,"venice","venice",FALSE,27.730416856116182,70,1132881,3.0862488193909328,96.207777
10128,"Q7207",10128,"Elizabeth_I_of_England","Elizabeth I of England","POLITICIAN",0,"F",,FALSE,149,34.268183430441596,"Palace of Placentia",51.48222222,-0.00666667,340025,"United Kingdom","1533-09-07",1533,"Richmond Palace",51.46117,-0.30888,2496276,"United Kingdom","1603-03-24",1603,"palace-of-placentia","richmond-palace",FALSE,22.282869325615874,70,2448515,3.094403302673519,96.042419
22954,"Q859",22954,"Plato","Plato","PHILOSOPHER",0,"M",,FALSE,217,34.23015762795778,"Classical Athens",37.97,23.72,13517898,"Greece","0427-05-07 BC",-427,"Athens",37.98416667,23.72805556,1216,"Greece",,-347,"classical-athens","athens",FALSE,21.164749679284444,80,1880518,4.779142532070533,95.935845
783,"Q8409",783,"Alexander_the_Great","Alexander the Great","MILITARY PERSONNEL",0,"M",,FALSE,213,34.12277753665583,"Pella",40.754669,22.52105,5245701,"Greece","0356-07-20 BC",-356,"Babylon",32.5425,44.42111111,20609622,"Iraq","0323-06-10 BC",-323,"pella","babylon",FALSE,16.428306836362633,33,3446525,5.660927336933529,95.634894
31665644,"Q33923",31665644,"Saint_Peter","Saint Peter","RELIGIOUS FIGURE",0,"M",,FALSE,128,34.05876700957963,"Bethsaida",32.91,35.63055556,1213367,,"0001-01-01 BC",-1,"Vatican Hill",41.90361111,12.45027778,301088,"Vatican City",,67,"bethsaida","vatican-hill",FALSE,21.693514516251575,68,2614821,2.883251221564501,95.455494
13633,"Q6691",13633,"Homer","Homer","WRITER",0,"M",,FALSE,194,34.043555069067615,"Chios",38.3775,26.065,17067,"Greece",,-800,"Ios",36.71666667,25.33638889,182639,"Greece",,-750,"chios","ios",FALSE,27.195720934136705,50,910867,3.6815168259291187,95.41286
33163,"Q254",33163,"Wolfgang_Amadeus_Mozart","Wolfgang Amadeus Mozart","COMPOSER",0,"M",,FALSE,222,34.02713222454428,"Mozart's birthplace",47.8,13.04333333,40656380,"Austria","1756-01-27",1756,"Vienna",48.20833333,16.3725,55866,"Austria","1791-12-05",1791,"mozarts-birthplace","vienna",FALSE,18.923192776991375,35,2944272,4.904251431283524,95.366832
69880,"Q517",69880,"Napoleon","Napoleon","POLITICIAN",0,"M",,FALSE,214,33.998912982987385,"Ajaccio",41.9267,8.7369,2640,"France","1769-08-15",1769,"Longwood, Saint Helena",-15.93333333,-5.66666667,2187809,"Saint Helena, Ascension and Tristan da Cunha","1821-05-05",1821,"ajaccio","longwood-saint-helena",FALSE,15.600538422523753,52,5230908,5.461619391562965,95.287743
29688374,"Q307",29688374,"Galileo_Galilei","Galileo Galilei","ASTRONOMER",0,"M",,FALSE,203,33.92344824945983,"Pisa",43.71666667,10.4,24636,"Italy","1564-02-15",1564,"Arcetri",43.75485,11.2518,1516706,"Italy","1642-01-08",1642,"pisa","arcetri",FALSE,19.100582372300597,78,2020893,4.691549352755455,95.07624
2731583,"Q352",2731583,"Adolf_Hitler","Adolf Hitler","POLITICIAN",0,"M",,FALSE,242,33.89196834959404,"Braunau am Inn",48.25833333,13.035,184475,"Austria","1889-04-20",1889,"Führerbunker",52.5125,13.3815,222902,"Germany","1945-04-30",1945,"braunau-am-inn","fuhrerbunker",FALSE,14.415766354191454,56,7771929,6.2483189783273465,94.988012
5635,"Q7322",5635,"Christopher_Columbus","Christopher Columbus","EXPLORER",0,"M",,FALSE,208,33.86338674136098,"Genoa",44.41111111,8.93277778,47332321,"Italy",,1451,"Valladolid",41.65277778,-4.72361111,69311,"Spain","1506-05-20",1506,"genoa","valladolid",FALSE,16.36075832917633,55,2652017,5.339777398213551,94.907907
25664190,"Q913",25664190,"Socrates","Socrates","PHILOSOPHER",0,"M",,FALSE,201,33.86096658124263,"Alopece",37.95,23.749997,46190844,"Greece",,-470,"Athens",37.98416667,23.72805556,1216,"Greece","0399-02-15 BC",-399,"alopece","athens",FALSE,19.243417888625793,71,1808911,4.716698529270135,94.901124
736,"Q937",736,"Albert_Einstein","Albert Einstein","PHYSICIST",0,"M",,FALSE,228,33.8345176107783,"Ulm",48.4,9.98333333,189455,"Germany","1879-03-14",1879,"Princeton, New Jersey",40.358244,-74.666728,84658,"United States","1955-04-18",1955,"ulm","princeton-new-jersey",FALSE,17.603815787962837,76,4679204,5.550876614735555,94.826997
14187,"Q38370",14187,"Henry_VIII_of_England","Henry VIII of England","NOBLEMAN",0,"M",,FALSE,106,33.771034928049446,"Palace of Placentia",51.48222222,-0.00666667,340025,"United Kingdom","1491-06-28",1491,"Palace of Whitehall",51.50444444,-0.12555556,323722,"United Kingdom","1547-01-28",1547,"palace-of-placentia","palace-of-whitehall",FALSE,20.451697608503398,56,2858372,2.5615946528379596,94.649076
20408,"Q7186",20408,"Marie_Curie","Marie Curie","PHYSICIST",0,"F",,FALSE,189,33.64719809009037,"Warsaw",52.23,21.01111111,32908,"Poland","1867-11-07",1867,"Passy, Haute-Savoie",45.9244,6.6872,15790492,"France","1934-07-04",1934,"warsaw","passy-haute-savoie",FALSE,19.071778927172563,67,3356078,4.099599561567845,94.302002
1095706,"Q302",1095706,"Jesus","Jesus","RELIGIOUS FIGURE",0,"M",,FALSE,274,33.62366680250349,"Herodian kingdom",31.78333333,35.21666667,33141450,"Israel",,-4,"Jerusalem",31.78333333,35.21666667,16043,"Israel","0030-04-07",33,"herodian-kingdom","jerusalem",FALSE,17.186766732404482,37,4105287,6.748598836421854,94.236051
15992,"Q23685",15992,"Jimmy_Carter","Jimmy Carter","POLITICIAN",0,"M",,FALSE,164,33.50493176675334,"Plains, Georgia",32.03361111,-84.39333333,110349,"United States","1924-10-01",1924,"Plains, Georgia",32.03361111,-84.39333333,110349,"United States","2024-12-29",2024,"plains-georgia","plains-georgia",FALSE,19.433324163859126,100,4140037,3.3005884769473752,93.903276
39660,"Q2494",39660,"Pope_Benedict_XVI","Pope Benedict XVI","RELIGIOUS FIGURE",0,"M","pontifex",FALSE,149,33.50252738496087,"Marktl",48.25,12.85,1758477,"Germany","1927-04-16",1927,"Mater Ecclesiae Monastery",41.90388889,12.45111111,38511305,"Vatican City","2022-12-31",2022,"marktl","mater-ecclesiae-monastery",FALSE,14.674375452623195,95,10452618,3.8469814150324346,93.896537
323592,"Q619",323592,"Nicolaus_Copernicus","Nicolaus Copernicus","ASTRONOMER",0,"M",,FALSE,174,33.462395307369974,"Toruń",53.02222222,18.61111111,31258,"Poland","1473-02-19",1473,"Frombork",54.35,19.68333333,68271,"Poland","1543-05-24",1543,"torun","frombork",FALSE,18.367587365485193,70,1568538,4.159675542879271,93.78406
15924,"Q1048",15924,"Julius_Caesar","Julius Caesar","POLITICIAN",0,"M",,FALSE,215,33.46006739986716,"Rome",41.89333333,12.48277778,25458,"Italy","0100-07-01 BC",-100,"Theatre of Pompey",41.89527778,12.47361111,1657020,"Italy","0044-03-15 BC",-44,"rome","theatre-of-pompey",FALSE,13.378248288868791,56,2846870,6.129368666530196,93.777536
5823,"Q4604",5823,"Confucius","Confucius","PHILOSOPHER",0,"M",,FALSE,234,33.38778658019596,"Qufu",35.5819,116.9862,611475,"China","0552-10-09 BC",-551,"Si River",35.22528056,116.65361111,12330750,"China","0479-03-09 BC",-479,"qufu","si-river",FALSE,17.496362372915257,72,1193478,5.596358252246021,93.574957
21019,"Q5592",21019,"Michelangelo","Michelangelo","PAINTER",0,"M",,FALSE,210,33.37685811491578,"Arezzo",43.46333333,11.87833333,99189,"Italy","1475-03-06",1475,"Rome",41.89333333,12.48277778,25458,"Italy","1564-02-18",1564,"arezzo","rome",FALSE,14.384886733069841,89,2085973,5.383567755144534,93.544328
1844,"Q8739",1844,"Archimedes","Archimedes","MATHEMATICIAN",0,"M",,FALSE,189,33.329342505504044,"Syracuse, Sicily",37.06916667,15.2875,28441,"Italy",,-287,"Syracuse, Sicily",37.06916667,15.2875,28441,"Italy","0212-01-01 BC",-212,"syracuse-sicily","syracuse-sicily",FALSE,20.413889176800073,75,1066245,4.7073653495710985,93.411157
23275,"Q10261",23275,"Pythagoras","Pythagoras","PHILOSOPHER",0,"M",,FALSE,158,33.31099383871784,"Samos",37.75,26.83333333,3333684,"Greece",,-570,"Crotone",39.08333333,17.11666667,81177,"Italy",,-495,"samos","crotone",FALSE,20.527014349979897,75,1219084,3.873592102212884,93.359732
32603,"Q5582",32603,"Vincent_van_Gogh","Vincent van Gogh","PAINTER",0,"M",,FALSE,211,33.27479062150576,"Zundert",51.46666667,4.66666667,118760,"Netherlands","1853-03-30",1853,"Auvers-sur-Oise",49.0725,2.175,3124632,"France","1890-07-29",1890,"zundert","auvers-sur-oise",FALSE,16.97461688277451,37,2713578,5.049427383324201,93.258266
19577,"Q9077",19577,"Moses","Moses","RELIGIOUS FIGURE",0,"M",,FALSE,160,33.27367305960004,"Land of Goshen",30.87222222,31.4775,60847,"Egypt",,-1393,"Mount Nebo",31.76666667,35.725,528965,"Jordan",,-1273,"land-of-goshen","mount-nebo",FALSE,17.55587189753997,120,1773663,4.388121015821278,93.255134
11625,"Q991",11625,"Fyodor_Dostoevsky","Fyodor Dostoevsky","WRITER",0,"M",,FALSE,178,33.254756450775666,"Moscow",55.75583333,37.61722222,19004,"Russia","1821-11-11",1821,"Saint Petersburg",59.9375,30.30861111,24320051,"Russia","1881-02-09",1881,"moscow","saint-petersburg",FALSE,19.164036859588155,60,2124272,4.137260769594686,93.202117
29922,"Q11812",29922,"Thomas_Jefferson","Thomas Jefferson","POLITICIAN",0,"M",,FALSE,159,33.24725183532728,"Shadwell, Virginia",38.01238283,-78.41777783,1672352,"United States","1743-04-13",1743,"Charlottesville, Virginia",38.0299,-78.479,91343,"United States","1826-07-04",1826,"shadwell-virginia","charlottesville-virginia",FALSE,25.96128581778496,83,822449,2.984961478135197,93.181084
13623554,"Q5809",13623554,"Che_Guevara","Che Guevara","SOCIAL ACTIVIST",0,"M",,FALSE,169,33.21445490448154,"Rosario",-32.9575,-60.63944444,592784,"Argentina","1928-06-14",1928,"La Higuera",-18.79472222,-64.20111111,576410,"Bolivia","1967-10-09",1967,"rosario","la-higuera",FALSE,21.3878539132476,39,2476508,3.297964240606638,93.089165
18553,"Q7742",18553,"Louis_XIV_of_France","Louis XIV of France","POLITICIAN",0,"M",,FALSE,141,33.18574359556876,"Château de Saint-Germain-en-Laye",48.89805556,2.09638889,6227909,"France","1638-09-05",1638,"Palace of Versailles",48.80480556,2.12033333,53316,"France","1715-09-01",1715,"chateau-de-saint-germain-en-laye","palace-of-versailles",FALSE,16.75757788308059,77,2324963,3.6942844421898084,93.008697
1814,"Q9381",1814,"Adam_Smith","Adam Smith","ECONOMIST",0,"M",,FALSE,162,33.17928532403841,"Kirkcaldy",56.11073,-3.16737,355074,"United Kingdom","1723-06-05",1723,"Edinburgh",55.95333333,-3.18916667,9602,"United Kingdom","1790-07-17",1790,"kirkcaldy","edinburgh",FALSE,28.552206778209175,67,629020,3.223592769303717,92.990597
347105,"Q30547",347105,"Mother_Teresa","Mother Teresa","SOCIAL ACTIVIST",0,"F",,FALSE,144,33.17683555351823,"Skopje",41.99611111,21.43166667,29618,"North Macedonia","1910-08-26",1910,"Kolkata",22.5675,88.37,47905,"India","1997-09-05",1997,"skopje","kolkata",FALSE,27.916392176943887,87,1476875,2.855945886721166,92.983731
9906294,"Q1339",9906294,"Johann_Sebastian_Bach","Johann Sebastian Bach","COMPOSER",0,"M",,FALSE,217,33.10472367706216,"Eisenach",50.97611111,10.32055556,59771,"Germany","1685-03-21",1685,"Leipzig",51.34,12.375,17955,"Germany","1750-07-28",1750,"eisenach","leipzig",FALSE,13.570640107612048,65,2364783,5.764858484566326,92.781625
7567080,"Q9554",7567080,"Martin_Luther","Martin Luther","RELIGIOUS FIGURE",0,"M",,FALSE,187,33.1000432402979,"Eisleben",51.52861111,11.54666667,1081962,"Germany","1483-11-10",1483,"Eisleben",51.52861111,11.54666667,1081962,"Germany","1546-02-18",1546,"eisleben","eisleben",FALSE,15.170588556328395,63,1728947,5.190377478215311,92.768507
19914843,"Q1496",19914843,"Ferdinand_Magellan","Ferdinand Magellan","EXPLORER",0,"M",,FALSE,176,33.04621647328062,"Kingdom of Portugal",38.7,-9.18333333,9352542,"Portugal","1480-10-17",1480,"Mactan",10.3,123.96666667,479981,"Philippines","1521-04-27",1521,"kingdom-of-portugal","mactan",FALSE,18.31821239363848,41,1101452,4.506744632456816,92.617648
32897,"Q692",32897,"William_Shakespeare","William Shakespeare","WRITER",0,"M",,FALSE,230,33.035590107674736,"Stratford-upon-Avon",52.19277778,-1.70638889,58882,"United Kingdom","1564-04-23",1564,"Stratford-upon-Avon",52.19277778,-1.70638889,58882,"United Kingdom","1616-04-23",1616,"stratford-upon-avon","stratford-upon-avon",FALSE,12.440431245617184,52,2317463,7.118998793987373,92.587866
23805,"Q989",23805,"Pope_John_Paul_II","Pope John Paul II","RELIGIOUS FIGURE",0,"M",,FALSE,146,33.02695488036017,"Wadowice",49.88333333,19.5,390487,"Poland","1920-05-18",1920,"Apostolic Palace",41.90361111,12.45638889,313895,"Vatican City","2005-04-02",2005,"wadowice","apostolic-palace",FALSE,12.223640273307948,85,10198483,4.228613966073435,92.563665
20076,"Q8027",20076,"Martin_Luther_King_Jr.","Martin Luther King Jr.","SOCIAL ACTIVIST",0,"M",,FALSE,178,33.00210664237458,"Atlanta",33.74888889,-84.39,3138,"United States","1929-01-15",1929,"Memphis, Tennessee",35.1175,-89.97111111,48607,"United States","1968-04-04",1968,"atlanta","memphis-tennessee",FALSE,20.948034863860126,39,2145984,3.7327309966201323,92.494023
10823,"Q1268",10823,"Frédéric_Chopin","Frédéric Chopin","COMPOSER",0,"M",,FALSE,163,32.99551122952576,"Żelazowa Wola",52.25,20.31666667,1769345,"Poland","1810-02-22",1810,"Paris",48.85666667,2.35222222,22989,"France","1849-10-17",1849,"zelazowa-wola","paris",FALSE,21.115505116042744,39,1278363,3.411635272891679,92.475538
14631,"Q9312",14631,"Immanuel_Kant","Immanuel Kant","PHILOSOPHER",0,"M",,FALSE,178,32.94952813520189,"Königsberg",54.71666667,20.51666667,15413504,"Russia","1724-04-22",1724,"East Prussia",54.73333333,20.48333333,68743,"Russia","1804-02-12",1804,"konigsberg","east-prussia",FALSE,18.264016407125222,80,1360909,4.324851634684895,92.346663
16743,"Q9061",16743,"Karl_Marx","Karl Marx","ECONOMIST",0,"M",,FALSE,206,32.910797565129556,"Trier",49.75666667,6.64138889,30317,"Germany","1818-05-05",1818,"London",51.50722222,-0.1275,17867,"United Kingdom","1883-03-14",1883,"trier","london",FALSE,15.722634661514252,65,2206657,5.522829139981783,92.238114
15641,"Q855",15641,"Joseph_Stalin","Joseph Stalin","POLITICIAN",0,"M",,FALSE,202,32.903743483918504,"Gori, Georgia",41.96666667,44.1,427368,"Georgia","1879-12-09",1879,"Kuntsevo Dacha",55.72444444,37.48583333,27544418,"Russia","1953-03-05",1953,"gori-georgia","kuntsevo-dacha",FALSE,13.069314845923463,74,4398791,5.754617525514755,92.218344
18945005,"Q8597",18945005,"Akbar","Akbar","POLITICIAN",0,"M",,FALSE,153,32.89454079542759,"Umerkot",25.36305556,69.7425,4183563,"Pakistan","1542-10-15",1542,"Fatehpur Sikri",27.091,77.661,322997,"India","1605-10-27",1605,"umerkot","fatehpur-sikri",FALSE,27.35107975377999,63,436563,3.4160151978153968,92.192552
8169,"Q1067",8169,"Dante_Alighieri","Dante Alighieri","WRITER",0,"M",,FALSE,192,32.87121041743307,"Florence",43.77138889,11.25416667,11525,"Italy","1265-05-30",1265,"Ravenna",44.41611111,12.20166667,37409,"Italy","1321-09-14",1321,"florence","ravenna",FALSE,15.648197664837545,56,1169648,4.951038567041896,92.127164
25525,"Q9191",25525,"René_Descartes","René Descartes","PHILOSOPHER",0,"M",,FALSE,178,32.869866473966994,"Descartes, Indre-et-Loire",46.9744,0.6986,2428709,"France","1596-03-31",1596,"Stockholm",59.32944444,18.06861111,26741,"Sweden","1650-02-11",1650,"descartes-indre-et-loire","stockholm",FALSE,17.324907527111506,54,1146776,4.58538029417724,92.123398
1130,"Q8011",1130,"Avicenna","Avicenna","PHILOSOPHER",0,"M",,FALSE,157,32.84287069879158,"Bukhara Region",40.16666667,63.66666667,2187292,"Uzbekistan","0980-08-22",980,"Hamadan",34.79833333,48.51472222,43610555,"Iran","1037-06-21",1037,"bukhara-region","hamadan",FALSE,15.340948040623902,57,1417942,3.9680759449220813,92.047737
1273,"Q1405",1273,"Augustus","Augustus","POLITICIAN",0,"M",,FALSE,206,32.836762743346185,"Rome",41.89333333,12.48277778,25458,"Italy",,-63,"Nola",40.92611111,14.5275,24570264,"Italy","0014-08-19",14,"rome","nola",FALSE,12.701614799103153,77,1841935,6.1206433518032535,92.030619
12281,"Q9047",12281,"Gottfried_Wilhelm_Leibniz","Gottfried Wilhelm Leibniz","MATHEMATICIAN",0,"M",,FALSE,156,32.82538406463703,"Leipzig",51.34,12.375,17955,"Germany","1646-07-01",1646,"Hanover",52.36666667,9.71666667,14197,"Germany","1716-11-14",1716,"leipzig","hanover",FALSE,25.302102029361453,70,520030,3.256886582642955,91.998728
21473,"Q9036",21473,"Nikola_Tesla","Nikola Tesla","INVENTOR",0,"M",,FALSE,169,32.790078724683255,"Smiljan, Croatia",44.56666667,15.31666667,1505797,"Croatia","1856-07-10",1856,"New York City",40.71277778,-74.00611111,645042,"United States","1943-01-07",1943,"smiljan-croatia","new-york-city",FALSE,15.871900518983399,87,2903743,4.858696253499976,91.899779
65119,"Q9333",65119,"Laozi","Laozi","PHILOSOPHER",0,"M",,FALSE,149,32.773800921308535,"Luyi County",33.86,115.484,24700356,"China","0604-01-01 BC",-604,"China",35,103,5405,"China","0600-01-01 BC",-600,"luyi-county","china",FALSE,23.83002381419724,4,484300,3.156097330063736,91.854157
125248,"Q43274",125248,"Charles,_Prince_of_Wales","Charles, Prince of Wales","NOBLEMAN",0,"M",,TRUE,156,32.71984071675369,"Buckingham Palace",51.50083333,-0.14194444,3969,"United Kingdom","1948-11-14",1948,,,,,,,,"buckingham-palace",,FALSE,19.989662216812896,77,3486442,3.297245290877957,91.702925
24176,"Q5593",24176,"Pablo_Picasso","Pablo Picasso","PAINTER",0,"M",,FALSE,204,32.71256142723959,"Málaga",36.71944444,-4.42,184763,"Spain","1881-10-25",1881,"Mougins",43.6008,6.9956,4981184,"France","1973-04-08",1973,"malaga","mougins",FALSE,16.0807478052733,92,2196154,5.291516108518564,91.682523
29778,"Q8743",29778,"Thomas_Edison","Thomas Edison","INVENTOR",0,"M",,FALSE,189,32.70034858241976,"Milan, Ohio",41.29333333,-82.60138889,150899,"United States","1847-02-11",1847,"West Orange, New Jersey",40.785755,-74.265058,21229975,"United States","1931-10-18",1931,"milan-ohio","west-orange-new-jersey",FALSE,18.010684569970987,84,1666698,5.1002904177375,91.648295
26992,"Q8474",26992,"Suleiman_the_Magnificent","Suleiman the Magnificent","POLITICIAN",0,"M",,FALSE,131,32.67532408016906,"Trabzon",41.005,39.7225,62653,"Türkiye","1494-11-06",1494,"Szigetvár",46.0475,17.79944444,3271543,"Hungary","1566-09-06",1566,"trabzon","szigetvar",FALSE,13.484960815219205,72,1952126,3.474819041184172,91.578159
15179,"Q1149",15179,"Indira_Gandhi","Indira Gandhi","POLITICIAN",0,"F",,FALSE,129,32.66028058039821,"Prayagraj",25.43583333,81.84638889,10234471,"India","1917-11-19",1917,"New Delhi",28.61388889,77.20888889,51585,"India","1984-10-31",1984,"prayagraj","new-delhi",FALSE,31.090738641297175,67,761386,2.3478586004765143,91.535997
11015252,"Q1394",11015252,"Vladimir_Lenin","Vladimir Lenin","POLITICIAN",0,"M",,FALSE,209,32.64952577567437,"Ulyanovsk",54.31666667,48.36666667,30876339,"Russia","1870-04-22",1870,"Gorki Leninskiye",55.5045,37.76502778,381041,"Russia","1924-01-21",1924,"ulyanovsk","gorki-leninskiye",FALSE,13.561755118122127,54,2821509,5.700162893982687,91.505855
8145410,"Q1035",8145410,"Charles_Darwin","Charles Darwin","BIOLOGIST",0,"M",,FALSE,205,32.63939654270699,"Shrewsbury",52.708,-2.754,23772249,"United Kingdom","1809-02-12",1809,"Downe",51.3359,0.0535,910931,"United Kingdom","1882-04-19",1882,"shrewsbury","downe",FALSE,16.516206387354718,73,1470062,5.438843844486087,91.477466
6125,"Q6722",6125,"Carl_Friedrich_Gauss","Carl Friedrich Gauss","MATHEMATICIAN",0,"M",,FALSE,160,32.62519122684042,"Braunschweig",52.26666667,10.51666667,51032,"Germany","1777-04-30",1777,"Göttingen",51.53388889,9.93555556,23307013,"Germany","1855-02-23",1855,"braunschweig","gottingen",FALSE,24.274118446590656,78,593007,3.235027528800824,91.437654
26983,"Q8581",26983,"Saladin","Saladin","POLITICIAN",0,"M",,FALSE,141,32.59829238672919,"Tikrit",34.61,43.68,199988,"Iraq",,1138,"Damascus",33.51305556,36.29194444,8914,"Syria",,1193,"tikrit","damascus",FALSE,13.449627623543163,55,1962054,4.347168951095833,91.362265
24140,"Q9200",24140,"Paul_the_Apostle","Paul the Apostle","RELIGIOUS FIGURE",0,"M",,FALSE,150,32.579699622544624,"Tarsus, Mersin",36.9165,34.8951,871713,"Türkiye",,5,"Rome",41.89333333,12.48277778,25458,"Italy",,66,"tarsus-mersin","rome",FALSE,14.492942009239334,61,1595104,4.731471008890788,91.310156
